ticket_id,subject,ticket_text,category,sentiment,priority,customer_age_days,previous_tickets,channel
TKT-00001,I was charged twice for my subscription this month.,I was charged twice for my subscription this month. I would appreciate a response soon.,Billing & Payments,normal,Medium,458,4,Email
TKT-00002,I want to know more about the premium plan features.,I want to know more about the premium plan features. Please look into this at your earliest convenience.,Product & Service,normal,Medium,62,2,Chat
TKT-00003,The dashboard is showing incorrect data and outdated metrics...,The dashboard is showing incorrect data and outdated metrics. Please let me know how to proceed.,Technical Support,normal,Medium,408,13,Chat
TKT-00004,I need an urgent delivery but the standard option is too slo...,I need an urgent delivery but the standard option is too slow. Please look into this at your earliest convenience.,Shipping & Delivery,normal,Medium,1555,5,Web Form
TKT-00005,I want to change my username but the option is greyed out.,I want to change my username but the option is greyed out. This is a critical issue affecting my business operations.,Account Management,urgent,High,210,2,Web Form
TKT-00006,My payment failed but money was deducted from my account.,My payment failed but money was deducted from my account. Please address this when you have time.,Billing & Payments,low,Low,542,1,Web Form
TKT-00007,I want to know more about the premium plan features.,I want to know more about the premium plan features. This is not urgent but I would like it resolved.,Product & Service,low,Low,162,9,Phone
TKT-00008,The product stopped working after just two weeks of use.,The product stopped working after just two weeks of use. Please look into this at your earliest convenience.,Product & Service,normal,Medium,1355,7,Phone
TKT-00009,Can I get a prorated refund for unused days after cancellati...,Can I get a prorated refund for unused days after cancellation? This is extremely urgent and needs immediate attention!,Billing & Payments,urgent,High,779,8,Web Form
TKT-00010,I need to transfer my account to a different email.,I need to transfer my account to a different email. I would appreciate a response soon.,Account Management,normal,Medium,1373,8,Email
TKT-00011,How long is the warranty period for this product?,How long is the warranty period for this product? I need this resolved TODAY. This is unacceptable.,Product & Service,urgent,High,335,14,Web Form
TKT-00012,Can I have multiple profiles under one account?,Can I have multiple profiles under one account? Please let me know how to proceed.,Account Management,normal,Medium,450,10,Email
TKT-00013,The search feature is not returning relevant results.,The search feature is not returning relevant results. This is a critical issue affecting my business operations.,Technical Support,urgent,High,822,8,Email
TKT-00014,My account got locked after too many failed login attempts.,"My account got locked after too many failed login attempts. Whenever possible, please assist with this.",Technical Support,low,Low,436,15,Web Form
TKT-00015,I received the wrong item in my package.,I received the wrong item in my package. I would appreciate a response soon.,Shipping & Delivery,normal,Medium,1526,8,Web Form
TKT-00016,What is the difference between the standard and premium subs...,What is the difference between the standard and premium subscription? I would appreciate a response soon.,Product & Service,normal,Medium,1044,15,Email
TKT-00017,Can I get a prorated refund for unused days after cancellati...,Can I get a prorated refund for unused days after cancellation? I need this resolved TODAY. This is unacceptable.,Billing & Payments,urgent,High,1623,13,Email
TKT-00018,I want to cancel my order before it ships.,I want to cancel my order before it ships. Looking forward to your assistance.,Shipping & Delivery,normal,Medium,1084,8,Email
TKT-00019,I want to switch from annual to monthly billing.,"I want to switch from annual to monthly billing. Whenever possible, please assist with this.",Billing & Payments,low,Low,1575,10,Email
